user,service,value,startDate,id,type
P5BAwzTfB,hazelnut_cappuccino,1.0,1559554055914,318,INTERACTION
M8TX69h8,milk_coffee,1.0,1559554542677,319,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1559561046674,320,INTERACTION
FmxgvxmU,cortado,1.0,1559561227918,321,INTERACTION
IQtg13hB,expresso,1.0,1559563222489,322,INTERACTION
OJwzAJ33l,expresso,1.0,1559563248027,323,INTERACTION
M8TX69h8,milk_coffee,1.0,1559564669575,324,INTERACTION
D6F0qp7s7,cortado,1.0,1559564705287,325,INTERACTION
uhDooz5uD,milk_coffee,1.0,1559569418880,326,INTERACTION
ymETMF4M4,long_coffee,1.0,1559570046800,327,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1559625868990,328,INTERACTION
Vhpk5shpkk,decaffeinated,1.0,1559632283813,329,INTERACTION
ymETMF4M4,long_coffee,1.0,1559633475868,330,INTERACTION
IQtg13hB,expresso,1.0,1559633663245,331,INTERACTION
FmxgvxmU,chocolate,1.0,1559633724559,332,INTERACTION
D6F0qp7s7,milk_coffee,1.0,1559635253899,333,INTERACTION
93xlxT,chocolate,1.0,1559639023672,334,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1559639645050,335,INTERACTION
P5BAwzTfB,hazelnut_cappuccino,1.0,1559639783828,336,INTERACTION
qpzNDzybrsi,expresso,1.0,1559639872014,337,INTERACTION
IQtg13hB,expresso,1.0,1559640400251,338,INTERACTION
CkfZksM2rBrL,cortado,1.0,1559640414301,339,INTERACTION
2qDLEBNv,chocolate,1.0,1559647079048,340,INTERACTION
D6F0qp7s7,cortado,1.0,1559648731478,341,INTERACTION
Vhpk5shpkk,milk_coffee kafeinagabe,1.0,1559649014089,342,INTERACTION
IQtg13hB,expresso,1.0,1559649095032,343,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1559650134179,344,INTERACTION
P5BAwzTfB,hazelnut_cappuccino,1.0,1559651307656,345,INTERACTION
ymETMF4M4,long_coffee,1.0,1559656583724,346,INTERACTION
5pVcV5V,chocolate,1.0,1559716788446,347,INTERACTION
gKUuuzg9,milk_coffee,1.0,1559716815354,348,INTERACTION
OJwzAJ33l,long_coffee,1.0,1559716977316,349,INTERACTION
Vhpk5shpkk,decaffeinated,1.0,1559719552609,350,INTERACTION
D6F0qp7s7,milk_coffee,1.0,1559723550560,351,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1559724565218,352,INTERACTION
gKUuuzg9,milk_coffee,1.0,1559724590525,353,INTERACTION
P5BAwzTfB,hazelnut_cappuccino,1.0,1559725092089,354,INTERACTION
FmxgvxmU,cortado,1.0,1559726984671,355,INTERACTION
TRFKSXv,chocolate,1.0,1559728196634,356,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1559733282121,357,INTERACTION
gKUuuzg9,milk_coffee,1.0,1559733299003,358,INTERACTION
qpzNDzybrsi,expresso,1.0,1559733861779,359,INTERACTION
M8TX69h8,milk_coffee,1.0,1559734365294,360,INTERACTION
D6F0qp7s7,cortado,1.0,1559734406215,361,INTERACTION
Vhpk5shpkk,decaffeinated,1.0,1559735045789,362,INTERACTION
CkfZksM2rBrL,cortado,1.0,1559735986649,363,INTERACTION
uhDooz5uD,milk_coffee,1.0,1559738906638,364,INTERACTION
OJwzAJ33l,long_coffee,1.0,1559803504706,365,INTERACTION
ymETMF4M4,capuccino,1.0,1559806778687,366,INTERACTION
M8TX69h8,milk_coffee,1.0,1559811350018,367,INTERACTION
D6F0qp7s7,milk_coffee,1.0,1559811380415,368,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1559819619256,369,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1559820502580,370,INTERACTION
M8TX69h8,milk_coffee,1.0,1559820546463,371,INTERACTION
D6F0qp7s7,cortado,1.0,1559820596364,372,INTERACTION
Vhpk5shpkk,decaffeinated,1.0,1559822245214,373,INTERACTION
IQtg13hB,expresso,1.0,1559822287639,374,INTERACTION
Vhpk5shpkk,capuccino decaffeinated,1.0,1559829014385,375,INTERACTION
d4guBrpB,cortado,1.0,1559835812955,376,INTERACTION
