user,service_name,parameter,subservice_name,value,startdate,id,contextvalue,context_name
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1699887765,1078,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1699887765,1078,t2,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1699907890,1079,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1699907890,1079,t2,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1699945049,1080,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1699945049,1080,t1,shift
pruiz,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1699952664,1081,GrindingResearcher,role
pruiz,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1699952664,1081,t1,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1699955808,1082,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1699955808,1082,t1,shift
eurkia,signal_monitoring,TDOMONWH1X1,Wheelhead1Power,1.0,1694601316,2000,GeneralResearcher,role
eurkia,signal_monitoring,TDOMONWH1X1Z1,Wheelhead1Power,1.0,1694601316,2000,GeneralResearcher,role
eurkia,signal_monitoring,TDOMONWH1Z1,Wheelhead1Power,1.0,1694601316,2000,GeneralResearcher,role
eurkia,signal_monitoring,TDOMONWH1X1,Wheelhead1Power,1.0,1694601316,2000,t1,shift
eurkia,signal_monitoring,TDOMONWH1X1Z1,Wheelhead1Power,1.0,1694601316,2000,t1,shift
eurkia,signal_monitoring,TDOMONWH1Z1,Wheelhead1Power,1.0,1694601316,2000,t1,shift
eurkia,signal_monitoring,TDOMONWH1X1,Wheelhead1Power,1.0,1694601316,2001,GeneralResearcher,role
eurkia,signal_monitoring,TDOMONWH1X1Z1,Wheelhead1Power,1.0,1694601316,2001,GeneralResearcher,role
eurkia,signal_monitoring,TDOMONWH1Z1,Wheelhead1Power,1.0,1694601316,2001,GeneralResearcher,role
eurkia,signal_monitoring,TDOMONWH1X1,Wheelhead1Power,1.0,1694601316,2001,t1,shift
eurkia,signal_monitoring,TDOMONWH1X1Z1,Wheelhead1Power,1.0,1694601316,2001,t1,shift
eurkia,signal_monitoring,TDOMONWH1Z1,Wheelhead1Power,1.0,1694601316,2001,t1,shift
dbarrenetxea,signal_monitoring,TDOMONWH2X1,Wheelhead2Power,1.0,1695326615,2002,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH2X1Z1,Wheelhead2Power,1.0,1695326615,2002,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH2Z1,Wheelhead2Power,1.0,1695326615,2002,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH2X1,Wheelhead2Power,1.0,1695326615,2002,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH2X1Z1,Wheelhead2Power,1.0,1695326615,2002,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH2Z1,Wheelhead2Power,1.0,1695326615,2002,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH2X1,Wheelhead2Power,1.0,1695326615,2003,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH2X1Z1,Wheelhead2Power,1.0,1695326615,2003,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH2Z1,Wheelhead2Power,1.0,1695326615,2003,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH2X1,Wheelhead2Power,1.0,1695326615,2003,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH2X1Z1,Wheelhead2Power,1.0,1695326615,2003,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH2Z1,Wheelhead2Power,1.0,1695326615,2003,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH2X1,Wheelhead2Speed_actual,1.0,1695326615,2004,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH2X1Z1,Wheelhead2Speed_actual,1.0,1695326615,2004,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH1X1Z1,Wheelhead2Speed_actual,1.0,1695326615,2004,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH2Z1,Wheelhead2Speed_actual,1.0,1695326615,2004,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH2X1,Wheelhead2Speed_actual,1.0,1695326615,2004,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH2X1Z1,Wheelhead2Speed_actual,1.0,1695326615,2004,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH1X1Z1,Wheelhead2Speed_actual,1.0,1695326615,2004,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH2Z1,Wheelhead2Speed_actual,1.0,1695326615,2004,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH2X1,X1AxisForce,1.0,1695326615,2005,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH1X1,X1AxisForce,1.0,1695326615,2005,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH2X1Z1,X1AxisForce,1.0,1695326615,2005,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH1X1Z1,X1AxisForce,1.0,1695326615,2005,GrindingResearcher,role
dbarrenetxea,signal_monitoring,Micra a micra Eje X,X1AxisForce,1.0,1695326615,2005,GrindingResearcher,role
dbarrenetxea,signal_monitoring,Circularidad CCW Eje X y Z,X1AxisForce,1.0,1695326615,2005,GrindingResearcher,role
dbarrenetxea,signal_monitoring,Circularidad Eje X y Z,X1AxisForce,1.0,1695326615,2005,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH2X1,X1AxisForce,1.0,1695326615,2005,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH1X1,X1AxisForce,1.0,1695326615,2005,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH2X1Z1,X1AxisForce,1.0,1695326615,2005,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH1X1Z1,X1AxisForce,1.0,1695326615,2005,t2,shift
dbarrenetxea,signal_monitoring,Micra a micra Eje X,X1AxisForce,1.0,1695326615,2005,t2,shift
dbarrenetxea,signal_monitoring,Circularidad CCW Eje X y Z,X1AxisForce,1.0,1695326615,2005,t2,shift
dbarrenetxea,signal_monitoring,Circularidad Eje X y Z,X1AxisForce,1.0,1695326615,2005,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH2X1Z1,Z1AxisForce,1.0,1695326615,2006,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH1X1Z1,Z1AxisForce,1.0,1695326615,2006,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH2Z1,Z1AxisForce,1.0,1695326615,2006,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH1Z1,Z1AxisForce,1.0,1695326615,2006,GrindingResearcher,role
