user,service,value,s
pruiz,X1AxisForce,1,1696499620
pruiz,X1AxisPosition_actual,1,1696499620
pruiz,Z1AxisForce,1,1696422680
pruiz,Z1AxisForce,1,1696499620
ubueno,110000556 DEC,1,1696486209
ubueno,LG600B6-100636-IDK,1,1695634086
ubueno,LG600B6-100636-IDK,1,1695710096
ubueno,LG600B6-100636-IDK,1,1696581600
ubueno,TDOMONWH2X1,0.5,1695634086
ubueno,TDOMONWH2X1,0.5,1695710096
ubueno,TDOMONWH2X1,0.5,1696486209
ubueno,TDOMONWH2X1,0.5,1696581600
ubueno,TDOMONWH2X1,1,1695634086
ubueno,TDOMONWH2X1,1,1695710096
ubueno,TDOMONWH2X1,1,1696486209
ubueno,TDOMONWH2X1,1,1696581600
ubueno,TDOMONWH2X1Z1,0.5,1695634086
ubueno,TDOMONWH2X1Z1,1,1695634086
ubueno,Wheelhead2Power,1,1695634086
ubueno,Wheelhead2Power,1,1695710096
ubueno,Wheelhead2Speed_actual,1,1695634086
ubueno,X1AxisPosition_actual,1,1695634086
